"acousticness" "duration" "energy" "liveness" "loudness" "tempo"
"1" 0.147 148520 0.74 0.0452 -8.165 157.068
"2" 0.193 189800 0.389 0.154 -11.642 85.27
"3" 0.388 289267 0.856 0.139 -8.403 101.28
"4" 0.733 170267 0.454 0.0889 -8.118 82.378
"5" 0.979 438907 0.494 0.123 -10.654 156.278
"6" 0.0742 219333 0.766 0.0827 -5.974 110.034
"7" 0.99 187742 0.42 0.13 -10.968 112.246
"8" 0.995 97627 0.211 0.106 -16.423 79.812
"9" 0.000506 209427 0.53 0.0477 -10.319 139.948
"10" 0.98 159227 0.106 0.237 -17.27 76.959
"11" 0.00146 244160 0.776 0.157 -9.778 113.532
"12" 0.927 169333 0.0961 0.0885 -17.655 57.065
"13" 0.0238 377560 0.894 0.125 -6.965 114.246
"14" 0.0647 144467 0.493 0.162 -15.859 122.506
"15" 0.927 151533 0.217 0.352 -13.853 136.991
"16" 0.83 195200 0.181 0.108 -11.94 168.221
"17" 0.986 107439 0.345 0.121 -17.499 98.271
"18" 0.923 168733 0.13 0.298 -12.812 123.782
"19" 0.00945 241293 0.77 0.254 -8.094 128.817
"20" 0.946 182960 0.164 0.265 -15.238 85.464
"21" 0.973 197780 0.305 0.475 -10.302 64.274
"22" 0.889 293640 0.279 0.137 -11.887 120.455
"23" 0.816 148493 0.262 0.0994 -13.623 93.777
"24" 0.99 490027 0.0186 0.0735 -28.795 88.123
"25" 0.0124 219067 0.579 0.169 -12.347 99.358
"26" 0.0926 307760 0.67 0.347 -12.737 99.714
"27" 0.0537 219520 0.793 0.16 -4.126 103.97
"28" 0.938 190773 0.264 0.132 -12.58 79.136
"29" 0.106 185227 0.799 0.332 -11.993 175.921
"30" 0.389 252333 0.605 0.115 -12.694 175.874
"31" 0.314 173947 0.661 0.192 -10.171 116.485
"32" 0.834 171040 0.115 0.115 -12.624 77.868
"33" 0.0843 392573 0.537 0.116 -10.195 171.528
"34" 0.763 152921 0.24 0.0851 -15.066 122.182
"35" 0.411 140747 0.574 0.262 -6.938 149.762
"36" 0.969 154587 0.434 0.306 -5.961 130.577
"37" 0.00232 294360 0.848 0.543 -13.287 144.993
"38" 0.895 320573 0.0856 0.0876 -19.231 90.137
"39" 0.234 301973 0.653 0.283 -14.798 97.155
"40" 0.0718 220173 0.797 0.0785 -8.502 177.188
"41" 0.982 194987 0.299 0.12 -10.451 116.707
"42" 0.35 314500 0.157 0.153 -18.2 118.511
"43" 0.0294 260800 0.793 0.173 -6.638 91.925
"44" 0.843 183360 0.285 0.132 -12.474 91.457
"45" 0.303 297600 0.747 0.0985 -5.993 139.96
"46" 0.762 352933 0.298 0.0636 -11.201 98.965
"47" 0.995 190907 0.196 0.13 -14.162 93.977
"48" 0.0274 239333 0.831 0.22 -5.439 131.104
"49" 0.97 132800 0.132 0.0657 -16.676 84.547
"50" 0.637 231657 0.394 0.233 -9.064 96.53
"51" 0.0292 274627 0.535 0.169 -11.676 182.756
"52" 0.995 167600 0.0775 0.123 -18.683 117.047
"53" 0.519 209323 0.542 0.12 -12.625 102.682
"54" 0.000137 194680 0.992 0.154 -3.843 104.269
"55" 0.0016 192093 0.955 0.444 -3.379 92.48
"56" 0.049 248472 0.602 0.279 -7.083 119.703
"57" 0.621 206147 0.383 0.137 -13.373 175.183
"58" 0.727 254347 0.57 0.0784 -6.564 111.927
"59" 0.685 300640 0.144 0.197 -15.676 67.224
"60" 0.989 132787 0.158 0.109 -20.976 168.596
"61" 0.064 265800 0.625 0.223 -4.95 120.853
"62" 0.000186 229067 0.993 0.302 -5.474 148.725
"63" 0.996 141787 0.00743 0.105 -37.501 66.46
"64" 0.00562 266307 0.944 0.366 -6.368 130.31
"65" 0.00285 395560 0.761 0.0945 -8.619 175.817
"66" 0.882 142832 0.0774 0.117 -15.995 112.487
"67" 0.338 271493 0.439 0.18 -7.058 92.054
"68" 0.511 153867 0.316 0.213 -10.52 116.139
"69" 0.0215 214093 0.731 0.0954 -7.851 144.588
"70" 0.135 188067 0.314 0.0987 -12.021 135.421
"71" 0.574 237093 0.781 0.323 -3.079 125.9
"72" 0.00715 142000 0.754 0.0568 -9.961 127.888
"73" 0.0294 181387 0.861 0.114 -2.909 154.122
"74" 0.0623 136147 0.681 0.137 -5.653 75.034
"75" 0.826 278396 0.34 0.269 -15.663 98.894
"76" 0.238 297493 0.566 0.122 -12.274 167.907
"77" 5.26e-05 126027 0.913 0.173 -8.104 93.476
"78" 0.991 187617 0.191 0.348 -11.61 97.452
"79" 0.853 202853 0.74 0.441 -6.154 108.997
"80" 0.732 164593 0.339 0.346 -18.561 124.293
"81" 0.971 76273 0.032 0.092 -25.001 110.771
"82" 0.974 162666 0.368 0.107 -15.439 100.64
"83" 0.0496 277827 0.815 0.128 -2.008 89.8
"84" 0.115 223907 0.718 0.402 -6.372 123.994
"85" 0.0559 300747 0.589 0.123 -9.675 130.892
"86" 0.0923 229773 0.862 0.192 -4.757 119.991
"87" 0.000192 193973 0.844 0.195 -6.005 140.082
"88" 0.902 140613 0.511 0.334 -14.219 136.654
"89" 0.0494 114500 0.501 0.436 -6.774 120.038
"90" 0.726 100400 0.334 0.144 -16.208 82.868
"91" 0.798 146853 0.549 0.269 -8.457 184.152
"92" 0.0563 197880 0.696 0.226 -5.994 139.98
"93" 0.0394 292667 0.651 0.303 -11.562 102.373
